feedback_id,user_id,feedback_timestamp,rating_1_to_5,sentiment_label,barrier_category,free_text_feedback,feature_name,would_recommend_flag
FB000001,U00001,2026-05-18 18:09:40,4,Positive,Unsure what use cases are allowed,Guidance on approved use cases for Northstar Assist could be clearer.,Meeting Notes,True
FB000002,U00001,2026-01-24 10:08:16,5,Positive,Hard to find the right feature,It took me a while to figure out that Drafting Assistant was the right tool for what I needed.,Drafting Assistant,True
FB000003,U00002,2026-05-12 12:47:01,3,Neutral,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,,True
FB000004,U00003,2026-04-12 09:58:35,5,Positive,No barrier reported,Prompt Library has been a great time-saver for my day-to-day work.,Prompt Library,True
FB000005,U00005,2026-06-21 17:39:06,4,Positive,No time to learn,Between meetings and deadlines I haven't found the time to explore Knowledge Search.,Knowledge Search,True
FB000006,U00005,2026-06-20 19:42:26,3,Neutral,No barrier reported,"Really happy with Northstar Assist overall, especially Prompt Library.",Prompt Library,True
FB000007,U00006,2026-04-06 18:42:27,2,Negative,Hard to find the right feature,The menu of features isn't very intuitive; I didn't know Data Analysis existed until a colleague mentioned it.,Data Analysis,False
FB000008,U00006,2026-04-18 09:05:03,3,Positive,Tool performance issue,I ran into an error using Code Assistant and had to restart my session.,Code Assistant,False
FB000009,U00007,2026-04-11 14:47:04,3,Neutral,No barrier reported,No issues to report — Northstar Assist works well for what I need.,,True
FB000010,U00007,2026-06-13 10:59:02,5,Positive,No time to learn,Between meetings and deadlines I haven't found the time to explore Prompt Library.,Prompt Library,True
FB000011,U00013,2026-05-02 15:11:18,5,Neutral,No barrier reported,Drafting Assistant has been a great time-saver for my day-to-day work.,Drafting Assistant,True
FB000012,U00013,2026-05-03 09:09:11,3,Neutral,No barrier reported,No issues to report — Drafting Assistant works well for what I need.,Drafting Assistant,False
FB000013,U00014,2026-06-07 12:02:59,3,Neutral,No time to learn,Between meetings and deadlines I haven't found the time to explore Northstar Assist.,,True
FB000014,U00015,2026-01-19 13:55:08,3,Neutral,Privacy or compliance concern,I'm cautious about what data I put into Prompt Library given compliance requirements.,Prompt Library,False
FB000015,U00015,2026-04-03 13:34:43,2,Negative,Low output quality,The output from Northstar Assist needed a lot of editing before it was usable.,,False
FB000016,U00015,2026-04-29 10:38:25,4,Positive,No barrier reported,No issues to report — Meeting Notes works well for what I need.,Meeting Notes,False
FB000017,U00016,2026-05-27 17:57:08,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Northstar Assist.",,True
FB000018,U00016,2026-05-21 16:45:20,4,Positive,No barrier reported,Northstar Assist has been a great time-saver for my day-to-day work.,,True
FB000019,U00017,2026-05-21 09:08:46,5,Positive,No barrier reported,No issues to report — Knowledge Search works well for what I need.,Knowledge Search,True
FB000020,U00017,2026-05-23 16:38:17,4,Positive,No barrier reported,No issues to report — Northstar Assist works well for what I need.,,True
FB000021,U00017,2026-03-21 09:31:45,5,Positive,No barrier reported,Chat and Research has been a great time-saver for my day-to-day work.,Chat and Research,True
FB000022,U00018,2026-04-10 09:54:52,4,Positive,Hard to find the right feature,It took me a while to figure out that Code Assistant was the right tool for what I needed.,Code Assistant,True
FB000023,U00018,2026-06-17 10:25:21,4,Positive,Privacy or compliance concern,I'd like clearer confirmation that Northstar Assist is approved for use with client information.,,True
FB000024,U00019,2026-06-07 16:38:12,3,Neutral,Tool performance issue,I ran into an error using Code Assistant and had to restart my session.,Code Assistant,True
FB000025,U00020,2026-06-16 22:29:37,5,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Northstar Assist.",,True
FB000026,U00020,2026-04-15 12:40:36,3,Neutral,Tool performance issue,Meeting Notes was slow to respond a few times this week.,Meeting Notes,False
FB000027,U00020,2026-04-05 08:47:51,4,Positive,Unsure what use cases are allowed,I'm not always clear on what I'm allowed to use Northstar Assist for in client-facing work.,,True
FB000028,U00021,2026-03-30 22:47:47,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Northstar Assist.",,True
FB000029,U00022,2026-06-18 16:20:00,5,Positive,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Data Analysis,False
FB000030,U00022,2026-04-01 20:46:02,2,Negative,No time to learn,Between meetings and deadlines I haven't found the time to explore Knowledge Search.,Knowledge Search,False
FB000031,U00023,2026-05-07 16:53:46,3,Neutral,No barrier reported,Data Analysis has been a great time-saver for my day-to-day work.,Data Analysis,False
FB000032,U00024,2026-06-14 12:52:38,2,Negative,Unsure what use cases are allowed,,Knowledge Search,False
FB000033,U00024,2026-06-15 10:54:12,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Meeting Notes.",Meeting Notes,True
FB000034,U00024,2026-06-11 13:59:29,3,Neutral,Lack of relevant training,More role-specific training on Chat and Research would help me use it with confidence.,Chat and Research,False
FB000035,U00025,2026-05-12 13:19:34,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Drafting Assistant.",Drafting Assistant,True
FB000036,U00025,2026-02-06 13:25:19,5,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Document Summarization.",Document Summarization,True
FB000037,U00025,2026-01-13 11:15:39,4,Positive,Low output quality,Code Assistant sometimes gives generic answers that don't fit our context.,Code Assistant,True
FB000038,U00027,2026-06-15 11:56:09,2,Negative,Unsure what use cases are allowed,,Code Assistant,True
FB000039,U00028,2026-03-13 19:56:38,5,Positive,Lack of relevant training,The training I received didn't cover how Code Assistant applies to my day-to-day role.,Code Assistant,True
FB000040,U00028,2026-06-07 12:41:43,2,Negative,Tool performance issue,Northstar Assist was slow to respond a few times this week.,,False
FB000041,U00028,2026-06-11 22:18:05,3,Neutral,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Meeting Notes,True
FB000042,U00029,2026-03-31 13:39:37,3,Neutral,Privacy or compliance concern,I'd like clearer confirmation that Drafting Assistant is approved for use with client information.,Drafting Assistant,True
FB000043,U00029,2026-04-07 15:40:32,2,Negative,No time to learn,I know Northstar Assist could help but I haven't had time to sit down and learn it properly.,Document Summarization,True
FB000044,U00031,2026-05-16 18:39:44,3,Positive,No time to learn,Between meetings and deadlines I haven't found the time to explore Code Assistant.,Code Assistant,False
FB000045,U00032,2026-03-20 22:25:18,3,Neutral,No barrier reported,Prompt Library has been a great time-saver for my day-to-day work.,Prompt Library,True
FB000046,U00032,2026-04-06 12:35:18,5,Positive,Hard to find the right feature,It took me a while to figure out that Chat and Research was the right tool for what I needed.,Chat and Research,True
FB000047,U00035,2026-05-06 08:38:59,5,Positive,No barrier reported,No issues to report — Drafting Assistant works well for what I need.,Drafting Assistant,True
FB000048,U00036,2026-05-15 13:05:07,5,Positive,No barrier reported,No issues to report — Northstar Assist works well for what I need.,,True
FB000049,U00037,2026-06-15 17:43:00,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Northstar Assist.",,True
FB000050,U00037,2026-04-02 12:40:22,4,Positive,Privacy or compliance concern,I'm cautious about what data I put into Prompt Library given compliance requirements.,Prompt Library,True
FB000051,U00037,2026-05-09 17:06:05,4,Positive,No barrier reported,"Really happy with Northstar Assist overall, especially Document Summarization.",Document Summarization,True
FB000052,U00038,2026-05-15 22:47:01,3,Neutral,No barrier reported,Meeting Notes has been a great time-saver for my day-to-day work.,Meeting Notes,False
FB000053,U00039,2026-05-22 11:53:47,3,Neutral,Lack of relevant training,The training I received didn't cover how Chat and Research applies to my day-to-day role.,Chat and Research,False
FB000054,U00040,2026-04-12 14:37:52,2,Negative,Privacy or compliance concern,I'd like clearer confirmation that Code Assistant is approved for use with client information.,Code Assistant,False
FB000055,U00042,2026-03-14 14:02:13,5,Positive,No barrier reported,Document Summarization has been a great time-saver for my day-to-day work.,Document Summarization,True
FB000056,U00043,2026-03-02 10:03:18,5,Positive,No barrier reported,No issues to report — Northstar Assist works well for what I need.,,True
