issue_type,affected_record_count,resolution,status
Duplicate user_id rows in users.csv,8,"Removed exact-duplicate rows, keeping the first occurrence of each user_id.",Resolved
Inconsistent business_unit label variants in users.csv,16,"Normalized case/whitespace/abbreviation variants (e.g. 'RETAIL BANKING', 'TECH', 'Risk & Compliance') to the 8 canonical business unit names.",Resolved
Missing assigned_access_date in users.csv,155,Retained as null. These are predominantly users flagged eligible_for_access_flag=False who never received an access date; such users are excluded from any usage-dependent metric downstream.,Accepted
Missing manager_champion_flag in users.csv,60,Retained as null (unknown) rather than assumed False; excluded from champion-specific breakdowns but included in all other metrics.,Accepted
training_completed_date earlier than training_assigned_date in users.csv,0,Validated — no records found violating this business rule.,Validated (no issue found)
Duplicate event_id rows in usage_events.csv,950,"Removed exact-duplicate rows (simulated at-least-once delivery), keeping the first occurrence of each event_id.",Resolved
Invalid/unparseable event_timestamp in usage_events.csv,235,Quarantined (removed from clean output) — timestamp is required to place an event in a rollout week and could not be safely recovered.,Resolved
Inconsistent feature_name label variants in usage_events.csv,2417,"Normalized case/whitespace/abbreviation variants (e.g. 'Doc Summarization', 'chat and research') to the 8 canonical feature names.",Resolved
Missing feature_name in usage_events.csv,474,Retained as null; excluded from feature-level adoption metrics but included in overall activity/engagement counts.,Accepted
Negative session_duration_seconds in usage_events.csv,708,"Nulled the impossible negative value. The event record itself is kept (event_type, feature_name, etc. remain usable) but its duration is excluded from duration-based aggregations.",Resolved
Negative estimated_minutes_saved in usage_events.csv,711,"Nulled the impossible negative value; excluded from the modeled time-saved aggregation. This field is a modeled estimate in all cases, never a measured value.",Resolved
usage_events records timestamped before the user's assigned_access_date,472,Removed — violates the business rule that usage can only occur after access is granted; timestamp or access-date data for these rows cannot be trusted.,Resolved
Duplicate feedback_id rows in feedback.csv,7,"Removed exact-duplicate rows, keeping the first occurrence of each feedback_id.",Resolved
Invalid/unparseable feedback_timestamp in feedback.csv,0,Validated — all feedback timestamps parsed successfully.,Validated (no issue found)
Out-of-range rating_1_to_5 in feedback.csv,15,"Nulled ratings outside the valid 1-5 scale; sentiment_label, barrier_category, and free_text_feedback for these rows are retained since they remain informative.",Resolved
Missing feature_name in feedback.csv,1543,Retained as null — this is expected for general feedback not tied to a specific feature; excluded from feature-level satisfaction cuts only.,Accepted
Missing free_text_feedback in feedback.csv,572,Retained as null — the user submitted a rating/barrier without free text; not fabricated.,Accepted
training_sessions.csv attendance/completion logical consistency,0,Validated — attended_count <= registered_count and completion_count <= attended_count hold for all rows.,Validated (no issue found)
